year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
1983,08,01,39,24.0,29.8,18.2
1983,09,01,39,15.5,23.8,7.2
1983,10,01,45,25.7,31.8,19.7
1983,11,01,47,32.1,36.0,28.1
1983,12,01,43,33.4,37.1,29.7
1984,01,01,45,32.8,36.1,29.4
1984,02,01,47,34.8,38.6,31.0
1984,03,01,44,31.3,35.2,27.5
1984,04,01,44,27.1,32.2,22.0
1984,05,01,38,24.9,29.8,20.0
1984,06,01,32,9.0,19.6,-1.6
1984,07,01,37,11.7,19.5,4.0
1984,08,01,39,20.9,26.7,15.1
1984,09,01,42,29.6,33.5,25.7
1984,10,01,44,26.5,31.2,22.0
1984,11,01,46,32.5,36.9,28.1
1984,12,01,45,34.1,37.4,30.7
1985,01,01,48,36.2,39.3,33.2
1985,02,01,45,35.7,38.6,32.8
1985,03,01,40,31.9,34.0,29.7
1985,04,01,40,30.8,33.5,28.1
1985,05,01,39,22.8,26.7,18.9
1985,06,01,42,13.6,20.9,6.3
1985,07,01,44,24.1,30.0,18.2
1985,08,01,37,22.7,28.0,17.4
1985,09,01,44,29.3,34.1,24.4
1985,10,01,47,28.8,33.1,24.5
1985,11,01,41,30.9,34.9,26.9
1985,12,01,47,33.8,36.8,30.7
1986,01,01,45,34.5,37.5,31.5
1986,02,01,42,34.5,37.1,32.0
1986,03,01,41,34.2,36.9,31.5
1986,04,01,41,30.2,34.1,26.3
1986,05,01,34,22.2,26.9,17.4
1986,06,01,36,22.1,28.7,15.6
1986,07,01,43,13.8,22.3,5.3
1986,08,01,40,15.8,23.9,7.7
1986,09,01,40,20.5,26.9,14.1
1986,10,01,45,26.6,33.0,20.2
1986,11,01,44,30.8,35.2,26.5
1986,12,01,47,33.6,37.5,29.8
1987,01,01,41,34.1,36.6,31.5
1987,02,01,46,34.4,37.5,31.3
1987,03,01,46,33.2,36.3,30.2
1987,04,01,36,27.2,31.2,23.2
1987,05,01,36,22.3,27.8,16.8
1987,06,01,34,13.5,22.1,5.0
1987,07,01,32,6.2,14.7,-2.4
1987,08,01,43,18.4,26.6,10.3
1987,09,01,34,17.5,24.2,10.8
1987,10,01,45,25.5,32.1,18.9
1987,11,01,45,33.5,38.2,28.8
1987,12,01,44,33.5,36.7,30.2
1988,01,01,41,33.8,36.3,31.4
1988,02,01,46,36.2,39.2,33.1
1988,03,01,48,34.6,37.8,31.5
1988,04,01,45,27.2,30.7,23.7
1988,05,01,39,24.2,28.4,20.0
1988,06,01,36,14.0,21.5,6.4
1988,07,01,38,13.4,22.4,4.3
1988,08,01,39,8.3,14.3,2.3
1988,09,01,37,21.5,28.2,14.9
1988,10,01,43,23.6,29.4,17.7
1988,11,01,43,28.9,33.5,24.4
1988,12,01,45,33.9,38.3,29.5
1989,01,01,45,32.8,35.6,30.0
1989,02,01,45,33.1,36.6,29.6
1989,03,01,48,34.1,37.4,30.9
1989,04,01,37,21.9,27.6,16.1
1989,05,01,45,27.0,32.8,21.2
1989,06,01,38,22.9,27.5,18.2
1989,07,01,41,29.0,33.4,24.6
1989,08,01,35,24.8,28.7,20.9
1989,09,01,39,28.0,32.1,24.0
1989,10,01,49,30.7,34.6,26.8
1989,11,01,45,32.5,36.5,28.5
1989,12,01,43,33.8,36.8,30.9
1990,01,01,42,35.0,37.3,32.8
1990,02,01,46,36.4,39.4,33.5
1990,03,01,46,34.5,37.5,31.6
1990,04,01,37,27.9,30.7,25.1
1990,05,01,36,22.4,26.3,18.4
1990,06,01,36,23.7,27.6,19.7
1990,07,01,36,16.5,22.7,10.3
1990,08,01,35,17.3,26.7,7.8
1990,09,01,39,20.4,27.3,13.5
1990,10,01,40,26.7,31.9,21.5
1990,11,01,41,31.7,35.3,28.2
1990,12,01,44,33.3,36.2,30.4
1991,01,01,51,36.8,40.6,33.1
1991,02,01,45,35.5,38.1,33.0
1991,03,01,39,31.1,34.0,28.2
1991,04,01,43,29.4,32.4,26.4
1991,05,01,48,13.9,21.4,6.3
1991,06,01,37,10.4,18.4,2.3
1991,07,01,33,12.4,21.2,3.6
1991,08,01,38,17.2,23.8,10.7
1991,09,01,39,21.3,26.3,16.2
1991,10,01,42,21.3,27.8,14.9
1991,11,01,45,31.6,36.0,27.2
1991,12,01,41,30.5,33.9,27.1
1992,01,01,49,34.9,38.8,31.0
1992,02,01,43,34.3,37.2,31.4
1992,03,01,43,28.8,33.0,24.6
1992,04,01,40,27.9,31.7,24.0
1992,05,01,38,15.4,21.0,9.8
1992,06,01,36,10.7,18.1,3.2
1992,07,01,43,9.0,18.0,0.0
1992,08,01,39,19.7,27.5,11.8
1992,09,01,42,26.5,31.6,21.3
1992,10,01,44,28.4,33.4,23.4
1992,11,01,55,33.1,38.1,28.1
1992,12,01,51,35.5,39.4,31.6
1993,01,01,43,34.6,37.1,32.1
1993,02,01,48,35.4,38.7,32.1
1993,03,01,45,33.8,37.0,30.6
1993,04,01,48,30.7,34.8,26.6
1993,05,01,45,29.9,34.6,25.3
1993,06,01,37,23.0,28.0,17.9
1993,07,01,40,20.1,26.4,13.7
1993,08,01,38,22.7,28.1,17.2
1993,09,01,40,17.7,27.5,7.9
1993,10,01,44,27.5,34.6,20.3
1993,11,01,52,32.6,38.6,26.7
1993,12,01,47,32.0,35.8,28.1
1994,01,01,43,34.4,37.6,31.2
1994,02,01,46,35.3,38.7,31.9
1994,03,01,49,33.2,36.2,30.1
1994,04,01,40,28.1,31.9,24.2
1994,05,01,35,21.5,26.2,16.7
1994,06,01,33,15.1,21.5,8.7
1994,07,01,38,6.0,15.0,-3.0
1994,08,01,40,20.2,28.3,12.1
1994,09,01,43,28.5,33.9,23.0
1994,10,01,44,19.9,27.6,12.3
1994,11,01,53,32.7,38.6,26.8
1994,12,01,47,34.1,38.2,29.9
1995,01,01,54,37.1,41.9,32.3
1995,02,01,54,36.4,39.9,32.9
1995,03,01,47,33.2,36.1,30.3
1995,04,01,40,30,35,28
1995,05,01,39,24.9,29.2,20.6
1995,06,01,33,19.6,25.5,13.6
1995,08,01,37,15,16.9,14
1995,09,01,40,18.7,25.2,12.2
1995,10,01,47,31.2,36.7,25.8
1995,11,01,40,31.2,35.3,27.0
1995,12,01,53,33.7,37.9,29.5
1996,01,01,46,34,38.2,30
1996,02,01,46,35.4,39.0,31.9
1996,03,01,45,34.1,37.7,30.6
1996,04,01,40,27.3,31.4,23.2
1996,05,01,41,25.7,30.2,21.3
1996,06,01,34,14.6,21.5,7.8
1996,07,01,38,15.6,25.5,5.7
1996,08,01,48,20.7,27.6,13.9
1996,09,01,44,21.6,27.7,15.4
1996,10,01,40,30.1,34.3,25.9
1996,11,01,42,33.0,36.3,29.6
1996,12,01,51,33.8,37.9,29.7
1997,01,01,52,36.3,40.2,32.4
1997,02,01,44,35.5,38.3,32.6
1997,03,01,45,33.9,37.1,30.8
1997,04,01,38,30.0,33.1,26.9
1997,05,01,47,26.7,31.0,22.4
1997,06,01,36,22.8,28.2,17.4
1997,07,01,43,10.9,20.1,1.7
1997,08,01,44,17.9,27.6,8.2
1997,09,01,35,10.0,18.9,1.2
1997,10,01,46,20.3,28.4,12.2
1997,11,01,43,25.2,31.9,18.5
1997,12,01,46,32.4,37.3,27.4
1998,01,01,46,34.3,37.9,30.7
1998,02,01,46,33.2,37.2,29.1
1998,03,01,49,33.6,38.0,29.2
1998,04,01,46,31.6,36.2,27.0
1998,05,01,41,18.7,26.0,11.4
1998,06,01,40,20.6,27.8,13.5
1998,07,01,38,18.4,27.0,9.8
1998,08,01,40,15.4,22.1,8.6
1998,09,01,42,20.2,28.2,12.1
1998,10,01,43,29.0,34.7,23.3
1998,11,01,46,33.6,38.9,28.3
1998,12,01,45,34.1,38.5,29.6
1999,01,01,43,35.7,39.1,32.4
1999,02,01,45,36.0,39.3,32.6
1999,03,01,46,34.4,37.3,31.5
1999,04,01,49,33.7,37.4,29.9
1999,05,01,40,29.0,32.0,26.0
1999,06,01,41,26.6,30.3,22.9
1999,07,01,39,24.2,30.1,18.3
1999,08,01,37,15.5,23.6,7.4
1999,09,01,40,17.7,25.9,9.6
1999,10,01,43,28.4,34.3,22.5
1999,11,01,45,31.6,36.6,26.6
1999,12,01,45,33.6,37.6,29.6
2000,01,01,53,35.1,38.7,31.5
2000,02,01,45,35.5,38.4,32.6
2000,03,01,46,35.1,38.3,31.9
2000,04,01,45,32.8,35.8,29.8
2000,05,01,44,27.6,32.1,23.1
2000,06,01,39,22.9,28.4,17.3
2000,07,01,36,18.7,24.5,13.0
2000,08,01,36,10.5,17.7,3.4
2000,09,01,37,17.6,25.4,9.9
2000,10,01,45,26.3,32.3,20.3
2000,11,01,42,28.3,34.1,22.5
2000,12,01,50,32.2,36.9,27.5
2001,01,01,43,34.2,37.7,30.7
2001,02,01,47,33.7,36.5,30.9
2001,03,01,43,31.8,35.3,28.4
2001,04,01,37,22.5,27.3,17.6
2001,05,01,42,25.7,31.5,20.0
2001,06,01,34,11.0,19.0,3.0
2001,07,01,39,5.4,14.7,-3.9
2001,08,01,41,26.4,31.6,21.2
2001,09,01,46,25.5,31.1,19.9
2001,10,01,47,33.0,38.5,27.4
2001,11,01,44,32.2,37.0,27.4
2001,12,01,49,34.7,39.6,29.8
2002,01,01,45,35.0,39.6,30.4
2002,02,01,47,34.9,38.6,31.2
2002,03,01,41,31.7,34.4,28.9
2002,04,01,44,31.0,33.9,28.1
2002,05,01,34,22.4,26.4,18.4
2002,06,01,44,16.6,22.8,10.4
2002,07,01,36,16.6,24.3,8.9
2002,08,01,35,14.6,23.1,6.0
2002,09,01,41,23.6,29.8,17.5
2002,10,01,48,20.5,28.5,12.5
2002,11,01,43,28.9,34.6,23.3
2002,12,01,49,32.8,37.0,28.5
2003,01,01,50,34.1,37.0,31.1
