dt,AverageTemperature,AverageTemperatureUncertainty,Country
1841.0301,-18.559,1.543,Russia
1841.0401,-7.246,2.003,Russia
1841.0501,3.4250000000000003,1.586,Russia
1841.0601,11.907,1.599,Russia
1841.0701,15.754000000000001,1.587,Russia
1841.0801,13.316,1.608,Russia
1841.0901,4.236000000000001,1.648,Russia
1841.1001,-4.949,1.504,Russia
1841.1101,-17.785999999999998,2.37,Russia
1841.1201,-23.963,1.648,Russia
1842.0101,-27.151,1.892,Russia
1842.0201,-23.213,1.6840000000000002,Russia
1842.0301,-15.272,1.6230000000000002,Russia
1842.0401,-6.894,1.831,Russia
1842.0501,2.861,1.545,Russia
1842.0601,10.575,1.527,Russia
1842.0701,14.59,1.445,Russia
1842.0801,12.225,1.422,Russia
1842.0901,4.651,1.615,Russia
1842.1001,-5.586,1.465,Russia
1842.1101,-16.079,1.538,Russia
1842.1201,-22.64,1.797,Russia
1843.0101,-24.436,1.866,Russia
1843.0201,-19.53,1.79,Russia
1843.0301,-14.652999999999999,1.996,Russia
1843.0401,-7.0089999999999995,1.6230000000000002,Russia
1843.0501,2.279,1.538,Russia
1843.0601,11.117,1.4409999999999998,Russia
1843.0701,15.034,1.492,Russia
1843.0801,12.214,1.519,Russia
1843.0901,5.121,1.682,Russia
1843.1001,-3.917,1.4269999999999998,Russia
1843.1101,-16.16,1.477,Russia
1843.1201,-21.230999999999998,1.6269999999999998,Russia
1844.0101,-24.569000000000003,1.751,Russia
1844.0201,-25.182,2.189,Russia
1844.0301,-15.833,1.6269999999999998,Russia
1844.0401,-7.0360000000000005,1.622,Russia
1844.0501,3.61,1.48,Russia
1844.0601,11.725,1.597,Russia
1844.0701,14.765,1.473,Russia
1844.0801,12.58,1.6030000000000002,Russia
1844.0901,4.927,1.6269999999999998,Russia
1844.1001,-4.893,1.651,Russia
1844.1101,-18.222,2.269,Russia
1844.1201,-26.511999999999997,2.102,Russia
1845.0101,-25.449,2.279,Russia
1845.0201,-26.03,2.049,Russia
1845.0301,-16.988,1.686,Russia
1845.0401,-6.415,1.671,Russia
1845.0501,2.5130000000000003,1.741,Russia
1845.0601,11.138,1.784,Russia
1845.0701,15.084000000000001,1.587,Russia
1845.0801,12.479000000000001,1.646,Russia
1845.0901,5.459,1.6780000000000002,Russia
1845.1001,-5.996,1.689,Russia
1845.1101,-16.282,2.105,Russia
1845.1201,-24.81,2.278,Russia
1846.0101,-24.904,2.17,Russia
1846.0201,-22.759,1.853,Russia
1846.0301,-13.81,1.736,Russia
1846.0401,-7.035,2.089,Russia
1846.0501,3.205,1.923,Russia
1846.0601,11.837,2.046,Russia
1846.0701,15.987,1.749,Russia
1846.0801,12.845999999999998,1.869,Russia
1846.0901,5.125,2.155,Russia
1846.1001,-5.454,1.681,Russia
1846.1101,-16.894000000000002,1.826,Russia
1846.1201,-23.351000000000006,1.7380000000000002,Russia
1847.0101,-25.46,2.1630000000000003,Russia
1847.0201,-22.613000000000003,1.83,Russia
1847.0301,-17.761,2.185,Russia
1847.0401,-6.949,2.021,Russia
1847.0501,2.846,1.715,Russia
1847.0601,11.064,1.619,Russia
1847.0701,14.6,1.696,Russia
1847.0801,12.73,1.915,Russia
1847.0901,5.995,1.709,Russia
1847.1001,-5.041,1.5719999999999998,Russia
1847.1101,-15.151000000000002,1.6969999999999998,Russia
1847.1201,-25.424000000000003,1.735,Russia
1848.0101,-28.814,2.047,Russia
1848.0201,-20.092,2.441,Russia
1848.0301,-15.472999999999999,1.641,Russia
1848.0401,-5.9270000000000005,1.72,Russia
1848.0501,2.5680000000000005,1.768,Russia
1848.0601,11.459000000000001,1.952,Russia
1848.0701,15.151,1.754,Russia
1848.0801,12.213,1.895,Russia
1848.0901,5.401,1.565,Russia
1848.1001,-4.832,1.736,Russia
1848.1101,-15.796,1.719,Russia
1848.1201,-24.358,1.976,Russia
1849.0101,-25.185,2.152,Russia
1849.0201,-21.026999999999997,1.985,Russia
1849.0301,-13.890999999999998,1.95,Russia
1849.0401,-7.217,2.126,Russia
1849.0501,2.202,1.589,Russia
1849.0601,11.526,1.891,Russia
1849.0701,15.189,1.605,Russia
1849.0801,12.629000000000001,1.661,Russia
1849.0901,4.1530000000000005,1.736,Russia
1849.1001,-4.096,1.885,Russia
1849.1101,-15.145999999999999,2.228,Russia
1849.1201,-25.863000000000003,1.808,Russia
1850.0101,-29.389,1.993,Russia
1850.0201,-21.635,2.317,Russia
1850.0301,-14.682,2.253,Russia
1850.0401,-6.756,1.6869999999999998,Russia
1850.0501,2.1069999999999998,1.737,Russia
