dt,AverageTemperature,AverageTemperatureUncertainty,Country
1875.0501,23.406999999999996,0.907,Brazil
1875.0601,22.525,1.025,Brazil
1875.0701,22.75,1.111,Brazil
1875.0801,23.346,0.872,Brazil
1875.0901,24.358,0.7829999999999999,Brazil
1875.1001,24.71,0.765,Brazil
1875.1101,24.236,0.78,Brazil
1875.1201,24.894,1.3969999999999998,Brazil
1876.0101,24.855999999999998,0.797,Brazil
1876.0201,24.695,0.8540000000000001,Brazil
1876.0301,24.872,1.02,Brazil
1876.0401,24.237,0.7879999999999999,Brazil
1876.0501,23.76,0.8079999999999999,Brazil
1876.0601,22.741999999999997,0.8490000000000001,Brazil
1876.0701,23.301,0.991,Brazil
1876.0801,23.598000000000003,0.758,Brazil
1876.0901,24.804000000000002,0.868,Brazil
1876.1001,25.073,0.799,Brazil
1876.1101,24.6,1.086,Brazil
1876.1201,24.054,1.155,Brazil
1877.0101,24.984,1.116,Brazil
1877.0201,25.254,1.139,Brazil
1877.0301,25.656,1.006,Brazil
1877.0401,24.851999999999997,0.895,Brazil
1877.0501,23.889,0.8009999999999999,Brazil
1877.0601,23.335,1.15,Brazil
1877.0701,24.171999999999997,1.054,Brazil
1877.0801,24.406,0.841,Brazil
1877.0901,25.353,0.755,Brazil
1877.1001,25.750999999999998,0.899,Brazil
1877.1101,25.564,0.85,Brazil
1877.1201,24.873,1.5519999999999998,Brazil
1878.0101,25.000999999999998,1.167,Brazil
1878.0201,26.040000000000006,1.116,Brazil
1878.0301,26.756,0.779,Brazil
1878.0401,25.6,1.141,Brazil
1878.0501,23.526999999999997,0.7829999999999999,Brazil
1878.0601,23.726000000000006,1.164,Brazil
1878.0701,23.81,0.866,Brazil
1878.0801,24.208,0.8140000000000001,Brazil
1878.0901,25.295,0.789,Brazil
1878.1001,25.399,0.8740000000000001,Brazil
1878.1101,25.791,0.882,Brazil
1878.1201,24.973000000000003,1.032,Brazil
1879.0101,24.92,0.968,Brazil
1879.0201,24.921999999999997,0.843,Brazil
1879.0301,24.728,0.759,Brazil
1879.0401,23.962,0.763,Brazil
1879.0501,23.284000000000002,0.7609999999999999,Brazil
1879.0601,22.655,1.063,Brazil
1879.0701,23.285,0.961,Brazil
1879.0801,23.340999999999998,0.737,Brazil
1879.0901,24.22,0.794,Brazil
1879.1001,25.17,1.001,Brazil
1879.1101,24.999000000000002,0.74,Brazil
1879.1201,24.28,0.968,Brazil
1880.0101,24.491999999999997,1.07,Brazil
1880.0201,24.410999999999998,0.728,Brazil
1880.0301,24.649,0.7070000000000001,Brazil
1880.0401,23.886999999999997,1.094,Brazil
1880.0501,23.905,0.763,Brazil
1880.0601,23.428,0.7240000000000001,Brazil
1880.0701,23.517,0.906,Brazil
1880.0801,24.686,0.809,Brazil
1880.0901,24.305,1.4409999999999998,Brazil
1880.1001,24.741,0.809,Brazil
1880.1101,25.136999999999997,1.03,Brazil
1880.1201,24.951,0.738,Brazil
1881.0101,25.065,0.795,Brazil
1881.0201,24.744000000000003,0.8029999999999999,Brazil
1881.0301,25.291,0.7390000000000001,Brazil
1881.0401,24.479,0.768,Brazil
1881.0501,23.875999999999998,0.735,Brazil
1881.0601,22.781999999999996,0.792,Brazil
1881.0701,23.063000000000002,0.723,Brazil
1881.0801,23.756,0.848,Brazil
1881.0901,25.152,0.8029999999999999,Brazil
1881.1001,25.264,0.775,Brazil
1881.1101,24.696,0.753,Brazil
1881.1201,25.049,0.8059999999999999,Brazil
1882.0101,25.318,1.156,Brazil
1882.0201,24.962000000000003,1.093,Brazil
1882.0301,24.807,0.753,Brazil
1882.0401,23.845,0.7929999999999999,Brazil
1882.0501,23.605999999999998,0.826,Brazil
1882.0601,22.518,0.77,Brazil
1882.0701,22.371,0.8,Brazil
1882.0801,23.947,0.8959999999999999,Brazil
1882.0901,24.533,0.792,Brazil
1882.1001,24.912000000000006,0.737,Brazil
1882.1101,24.399,0.8029999999999999,Brazil
1882.1201,23.622,0.757,Brazil
1883.0101,24.195999999999998,0.969,Brazil
1883.0201,24.284,0.8270000000000001,Brazil
1883.0301,25.022,0.8390000000000001,Brazil
1883.0401,23.944000000000006,0.823,Brazil
1883.0501,23.578000000000003,0.7659999999999999,Brazil
1883.0601,23.096,0.768,Brazil
1883.0701,22.881999999999998,0.7759999999999999,Brazil
1883.0801,23.263,0.845,Brazil
1883.0901,24.412,0.7340000000000001,Brazil
1883.1001,25.096999999999998,0.764,Brazil
1883.1101,24.491,0.7509999999999999,Brazil
1883.1201,24.803,0.821,Brazil
1884.0101,24.334000000000003,1.1840000000000002,Brazil
1884.0201,24.426,0.989,Brazil
1884.0301,24.253,0.907,Brazil
1884.0401,23.666999999999998,0.784,Brazil
1884.0501,22.873,0.777,Brazil
1884.0601,22.373,0.892,Brazil
1884.0701,22.819000000000003,0.741,Brazil
1884.0801,24.504,0.741,Brazil
1884.0901,24.331,0.8640000000000001,Brazil
1884.1001,24.596,0.7509999999999999,Brazil
1884.1101,24.774,0.7979999999999999,Brazil
1884.1201,24.62,0.927,Brazil
1885.0101,24.105999999999998,0.958,Brazil
1885.0201,24.475,0.972,Brazil
1885.0301,24.230999999999998,0.774,Brazil
1885.0401,24.217,0.901,Brazil
1885.0501,23.83,1.023,Brazil
1885.0601,22.638,0.967,Brazil
1885.0701,23.279,0.996,Brazil
1885.0801,23.772,0.8959999999999999,Brazil
1885.0901,24.953000000000003,0.9,Brazil
1885.1001,25.103,0.921,Brazil
1885.1101,25.447,1.042,Brazil
1885.1201,25.685,1.069,Brazil
1886.0101,24.787000000000006,1.192,Brazil
1886.0201,23.965999999999998,0.879,Brazil
1886.0301,24.615,0.7090000000000001,Brazil
1886.0401,24.296999999999997,0.701,Brazil
1886.0501,23.041999999999998,0.85,Brazil
1886.0601,22.171,0.779,Brazil
1886.0701,22.555999999999997,0.851,Brazil
1886.0801,23.316999999999997,0.784,Brazil
1886.0901,24.779,0.804,Brazil
1886.1001,24.801,0.82,Brazil
1886.1101,24.858,0.785,Brazil
1886.1201,24.926,1.088,Brazil
1887.0101,24.040000000000006,0.933,Brazil
1887.0201,24.502,1.153,Brazil
1887.0301,24.284000000000002,0.77,Brazil
1887.0401,24.059,0.721,Brazil
1887.0501,23.449,0.7140000000000001,Brazil
1887.0601,23.059,0.8290000000000001,Brazil
1887.0701,22.895,0.81,Brazil
1887.0801,24.361,0.9,Brazil
1887.0901,24.956,0.778,Brazil
1887.1001,25.31,0.7190000000000001,Brazil
1887.1101,25.111,0.84,Brazil
1887.1201,25.324,0.8009999999999999,Brazil
1888.0101,24.471999999999998,1.141,Brazil
1888.0201,24.654,0.905,Brazil
1888.0301,24.465999999999998,0.773,Brazil
1888.0401,24.000999999999998,0.7859999999999999,Brazil
1888.0501,23.354,0.728,Brazil
1888.0601,22.772,0.7240000000000001,Brazil
1888.0701,23.228,0.6970000000000001,Brazil
1888.0801,24.191999999999997,0.7120000000000001,Brazil
1888.0901,25.787,1.096,Brazil
1888.1001,26.206999999999997,1.043,Brazil
1888.1101,25.899,1.105,Brazil
1888.1201,25.568,1.088,Brazil
1889.0101,25.483,0.8370000000000001,Brazil
1889.0201,25.868,0.823,Brazil
1889.0301,25.728,0.8490000000000001,Brazil
1889.0401,25.054,0.7070000000000001,Brazil
1889.0501,24.296,0.65,Brazil
1889.0601,22.464,0.913,Brazil
1889.0701,23.256999999999998,0.75,Brazil
1889.0801,23.594,0.764,Brazil
1889.0901,24.316999999999997,0.802,Brazil
1889.1001,25.057,0.679,Brazil
1889.1101,25.018,0.782,Brazil
1889.1201,25.531999999999996,1.069,Brazil
1890.0101,24.461,1.012,Brazil
1890.0201,24.651,0.906,Brazil
1890.0301,24.487,0.858,Brazil
1890.0401,23.761,0.924,Brazil
1890.0501,23.046,0.762,Brazil
1890.0601,22.164,0.632,Brazil
1890.0701,23.048000000000002,0.665,Brazil
1890.0801,23.521,0.65,Brazil
1890.0901,24.92,0.685,Brazil
1890.1001,25.086,0.785,Brazil
1890.1101,24.873,0.987,Brazil
1890.1201,24.948,0.71,Brazil
1891.0101,24.340999999999998,0.921,Brazil
1891.0201,24.541,0.6759999999999999,Brazil
1891.0301,24.747,0.62,Brazil
1891.0401,24.191999999999997,0.547,Brazil
1891.0501,23.52,0.632,Brazil
1891.0601,23.06,0.588,Brazil
1891.0701,22.776,0.5670000000000001,Brazil
1891.0801,23.824,0.6459999999999999,Brazil
1891.0901,24.934,0.62,Brazil
1891.1001,25.16,0.602,Brazil
1891.1101,25.092,0.588,Brazil
1891.1201,24.982,0.6659999999999999,Brazil
1892.0101,25.146,0.637,Brazil
1892.0201,25.101000000000006,0.625,Brazil
1892.0301,24.899,0.767,Brazil
1892.0401,24.1,0.603,Brazil
1892.0501,23.129,0.682,Brazil
1892.0601,22.688,0.6609999999999999,Brazil
1892.0701,22.366999999999997,0.941,Brazil
1892.0801,23.5,0.642,Brazil
1892.0901,24.665,0.591,Brazil
1892.1001,25.064,0.659,Brazil
1892.1101,24.668000000000003,0.6759999999999999,Brazil
1892.1201,24.478,1.393,Brazil
1893.0101,24.087000000000003,0.6759999999999999,Brazil
1893.0201,23.874,0.632,Brazil
1893.0301,24.494,0.685,Brazil
1893.0401,23.97,0.727,Brazil
1893.0501,23.182,0.774,Brazil
1893.0601,22.398000000000003,0.7959999999999999,Brazil
1893.0701,22.955,0.6609999999999999,Brazil
1893.0801,23.275,0.583,Brazil
1893.0901,24.145,0.629,Brazil
1893.1001,24.834,0.745,Brazil
1893.1101,24.653000000000002,0.6779999999999999,Brazil
1893.1201,25.06,0.6459999999999999,Brazil
1894.0101,25.198,0.797,Brazil
1894.0201,25.238000000000003,0.6709999999999999,Brazil
1894.0301,24.953000000000003,0.733,Brazil
1894.0401,23.923,0.642,Brazil
1894.0501,23.535999999999998,0.6829999999999999,Brazil
1894.0601,21.91,0.675,Brazil
1894.0701,22.613000000000003,0.579,Brazil
1894.0801,23.825,0.6409999999999999,Brazil
1894.0901,24.908,0.5670000000000001,Brazil
1894.1001,25.618,0.622,Brazil
1894.1101,25.274,0.677,Brazil
1894.1201,24.997,0.674,Brazil
1895.0101,24.699,0.858,Brazil
1895.0201,24.445999999999998,0.698,Brazil
1895.0301,24.951,0.662,Brazil
1895.0401,24.619,0.659,Brazil
1895.0501,23.74,0.769,Brazil
1895.0601,22.995,0.642,Brazil
1895.0701,22.949,0.625,Brazil
1895.0801,24.333,0.596,Brazil
1895.0901,24.83,0.638,Brazil
1895.1001,25.316000000000006,0.573,Brazil
1895.1101,25.104,0.711,Brazil
1895.1201,25.625999999999998,0.764,Brazil
1896.0101,24.831999999999997,0.54,Brazil
1896.0201,25.171999999999997,0.804,Brazil
1896.0301,24.682,0.535,Brazil
1896.0401,23.930999999999997,0.602,Brazil
1896.0501,23.531,0.544,Brazil
1896.0601,22.819000000000006,0.815,Brazil
1896.0701,23.225,0.519,Brazil
1896.0801,24.516,0.563,Brazil
